state,total_claim_count,state,bene_count
AE,46,AA,690
AK,29530,AE,5642
AL,321672,AK,120309
AR,192643,AL,6332303
AZ,264587,AP,4499
CA,1487529,AR,3441774
CO,181293,AS,74
CT,289428,AZ,5725697
DC,29213,CA,28683804
DE,55508,CO,3058105
FL,1085697,CT,3002448
GA,568775,DC,296288
GU,116,DE,873997
HI,44265,FL,25855085
IA,235776,GA,9608620
ID,88941,GU,9211
IL,706201,HI,856631
IN,450509,IA,2900516
KS,207141,ID,1140036
KY,337123,IL,9697495
LA,331280,IN,6720852
MA,632559,KS,2417012
MD,295973,KY,5900007
ME,111871,LA,5264865
MI,759266,MA,5941584
MN,413064,MD,3542512
MO,550602,ME,1197560
MS,201179,MI,10357190
MT,50723,MN,3960730
NC,575148,MO,6699278
ND,40670,MP,1098
NE,160060,MS,3615228
NH,97108,MT,686936
NJ,483751,NC,10420078
NM,73086,ND,582754
NV,99089,NE,1512773
NY,1257093,NH,933498
OH,929820,NJ,7190062
OK,232619,NM,1448432
OR,196234,NV,2244064
PA,1005065,NY,18214018
PR,304918,OH,12506468
RI,106729,OK,3421257
SC,262644,OR,3022726
SD,62374,PA,13512292
TN,475545,PR,5911130
TX,917105,RI,982965
UT,109478,SC,5350999
VA,390366,SD,676026
VI,2584,TN,8536889
VT,49083,TX,20964727
WA,317412,UT,1469464
WI,418599,VA,5949423
WV,137189,VI,32468
WY,23806,VT,415372
XX,44,WA,4272344
ZZ,1661,WI,4726635
,,WV,2329960
,,WY,280315
,,XX,3711
,,ZZ,14307
